0|Art abstrait, non-figuratif
11H(LOUIS IX)3|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - dévotion personnelle du saint
11H(LOUIS IX)31|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - vocation, conversion du saint
11H(LOUIS IX)32|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - baptême, consécration, prononciation des voeux du saint
11H(LOUIS IX)33|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - renonçant aux biens terrestres, vie ascétique du saint
11H(LOUIS IX)34|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - vision(s), mariage mystique du saint
11H(LOUIS IX)35|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - tentations du saint
11H(LOUIS IX)36|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - pénitence du saint
11H(LOUIS IX)37|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - saint en méditation, en extase
11H(LOUIS IX)4|activités et événements non-miraculeux ~ St Louis
11H(LOUIS IX)41|actes de charité de St Louis, p.ex. lavant les pieds des pauvres
11H(LOUIS IX)42|St Louis en croisade
11H(LOUIS IX)43|St Louis portant les reliques (la couronne d'épines et les trois clous) vers la Sainte-Chapelle à Paris
11H(LOUIS IX)44|St Louis rend la justice sous un chêne à Vincennes
11H(LOUIS IX)5|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - activités et événement miraculeux ~ saint
11H(LOUIS IX)59|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - stigmatisation du saint
11H(LOUIS IX)6|martyre, souffrance, malheurs, mort de St Louis
11H(LOUIS IX)68|St Louis meurt de la fièvre typhoïde dans le camp de son armée devant Tunis
11H(LOUIS IX)69|martyre, souffrance, malheurs, mort de St Louis - corps du saint malmené
11H(LOUIS IX)7|apothéose de St Louis : il est emporté au ciel par des anges
11H(LOUIS IX)8|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - événements ayant lieu après la mort ~ saint
11H(LOUIS IX)81|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - découverte, translation des reliques du saint
11H(LOUIS IX)82|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - miracles ayant lieu pendant le maniement des reliques du saint
11H(LOUIS IX)83|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - actions posthumes, apparitions du saint
11H(LOUIS IX)84|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - béatification, canonisation du saint
11H(LOUIS IX)9|Louis IX, roi de France; attributs possibles : couronne d'épines, manteau fleurdelisé, trois clous, sceptre fleurdelisé, modèle d'église, main de Justice - portrait du saint
11H(LOUIS OF TOULOUSE)|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre
11H(LOUIS OF TOULOUSE)0|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - groupe de saints
11H(LOUIS OF TOULOUSE)1|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - aspects spécifiques ~ saint
11H(LOUIS OF TOULOUSE)11|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - saint en tant que patron, protecteur, intercesseur
11H(LOUIS OF TOULOUSE)119|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LOUIS OF TOULOUSE)12|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(LOUIS OF TOULOUSE)13|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - saint comme fondateur d'un Ordre
11H(LOUIS OF TOULOUSE)131|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LOUIS OF TOULOUSE)2|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - jeunesse du saint
11H(LOUIS OF TOULOUSE)3|dévotion personnelle de St Louis de Toulouse
11H(LOUIS OF TOULOUSE)31|dévotion personnelle de St Louis de Toulouse - vocation, conversion du saint
11H(LOUIS OF TOULOUSE)32|St Louis de Toulouse est consacré évêque par le pape Boniface III
11H(LOUIS OF TOULOUSE)33|dévotion personnelle de St Louis de Toulouse - renonçant aux biens terrestres, vie ascétique du saint
11H(LOUIS OF TOULOUSE)34|dévotion personnelle de St Louis de Toulouse - vision(s), mariage mystique du saint
11H(LOUIS OF TOULOUSE)35|dévotion personnelle de St Louis de Toulouse - tentations du saint
11H(LOUIS OF TOULOUSE)36|dévotion personnelle de St Louis de Toulouse - pénitence du saint
11H(LOUIS OF TOULOUSE)37|dévotion personnelle de St Louis de Toulouse - saint en méditation, en extase
11H(LOUIS OF TOULOUSE)4|activités et événements non-miraculeux ~ St Louis de Toulouse
11H(LOUIS OF TOULOUSE)41|St Louis de Toulouse couronnant son frère, Robert, roi de Naples
11H(LOUIS OF TOULOUSE)5|activités et événements miraculeux ~ St Louis de Toulouse
11H(LOUIS OF TOULOUSE)51|activités miraculeuses de St Louis de Toulouse, p.ex. ressuscitant un enfant mort
11H(LOUIS OF TOULOUSE)59|activités et événements miraculeux ~ St Louis de Toulouse - stigmatisation du saint
11H(LOUIS OF TOULOUSE)6|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - martyre, souffrance, malheurs, mort du saint
11H(LOUIS OF TOULOUSE)68|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - mort, lit de mort du saint
11H(LOUIS OF TOULOUSE)69|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - corps du saint malmené
11H(LOUIS OF TOULOUSE)7|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - apothéose, glorification, triomphe du saint
11H(LOUIS OF TOULOUSE)8|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - événements ayant lieu après la mort ~ saint
11H(LOUIS OF TOULOUSE)81|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - découverte, translation des reliques du saint
11H(LOUIS OF TOULOUSE)82|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - miracles ayant lieu pendant le maniement des reliques du saint
11H(LOUIS OF TOULOUSE)83|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - actions posthumes, apparitions du saint
11H(LOUIS OF TOULOUSE)84|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - béatification, canonisation du saint
11H(LOUIS OF TOULOUSE)9|Louis d'Anjou, fils du roi de Naples, frère franciscain et évêque de Toulouse; attributs possibles : chape fleurdelisée, couronne et sceptre - portrait du saint
11H(LUKE)|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau
11H(LUKE)0|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - groupe de saints
11H(LUKE)1|aspects spécifiques ~ St Luc
11H(LUKE)11|St Luc en tant que saint patron
11H(LUKE)111|St Luc, patron des peintres
11H(LUKE)112|St Luc exerçant la médecine dans un cabinet médical, maniant des instruments chirurgicaux et guérissant des malades
11H(LUKE)119|St Luc en tant que saint patron - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(LUKE)12|St Luc écrivant son évangile, généralement en présence du boeuf (ailé)
11H(LUKE)121|St Luc écrivant son évangile en présence de St Paul
11H(LUKE)122|St Luc écrivant son évangile en présence d'une figure inspiratrice, p.ex. : un (ou des) ange(s), une colombe, la main de Dieu, Marie
11H(LUKE)123|St Luc remettant son Évangile au Christ
11H(LUKE)13|aspects spécifiques ~ St Luc - saint comme fondateur d'un Ordre
11H(LUKE)131|aspects spécifiques ~ St Luc - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(LUKE)2|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - jeunesse du saint
11H(LUKE)3|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - dévotion personnelle du saint
11H(LUKE)31|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - vocation, conversion du saint
11H(LUKE)32|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - baptême, consécration, prononciation des voeux du saint
11H(LUKE)33|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - renonçant aux biens terrestres, vie ascétique du saint
11H(LUKE)34|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - vision(s), mariage mystique du saint
11H(LUKE)35|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - tentations du saint
11H(LUKE)36|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - pénitence du saint
11H(LUKE)37|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - saint en méditation, en extase
11H(LUKE)4|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - activités et événements non-miraculeux ~ saint
11H(LUKE)5|activités et événements miraculeux ~ St Luc
11H(LUKE)51|St Luc peignant ou dessinant la Madone (c.à.d. Marie et l'enfant Jésus), parfois en présence de St Joseph
11H(LUKE)511|St Luc peignant ou dessinant la Madone de mémoire
11H(LUKE)52|St Luc montrant le portrait à la Madone
11H(LUKE)59|activités et événements miraculeux ~ St Luc - stigmatisation du saint
11H(LUKE)6|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - martyre, souffrance, malheurs, mort du saint
11H(LUKE)68|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - mort, lit de mort du saint
11H(LUKE)69|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - corps du saint malmené
11H(LUKE)7|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - apothéose, glorification, triomphe du saint
11H(LUKE)8|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - événements ayant lieu après la mort ~ saint
11H(LUKE)81|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - découverte, translation des reliques du saint
11H(LUKE)82|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - miracles ayant lieu pendant le maniement des reliques du saint
11H(LUKE)83|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - actions posthumes, apparitions du saint
11H(LUKE)84|Luc l'Évangéliste; attributs possibles : livre, boeuf (ailé), portrait de la Vierge, instruments chirurgicaux, accessoires de peintre, rouleau - béatification, canonisation du saint
