0|Abstracte, non-figuratieve Kunst
11H(LAMBERT)4|Lambert(us), martelaar bisschop van Maastricht en patroonheilige van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - non-miraculous activities and events ~ male saint
11H(LAMBERT)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Lambert    # miraculous activities and events ~ St. Lambert
11H(LAMBERT)51|St. Lambert draagt hete kolen in een plooi van zijn superplie om de wierook voor het altaar aan te steken    # St. Lambert carries hot coals in a fold of his surplice to light the incense before the altar
11H(LAMBERT)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Lambert - stigmatisering van mannelijke heilige    # miraculous activities and events ~ St. Lambert - stigmatization of male saint
11H(LAMBERT)6|martelaarschap, lijden, tegenspoed, dood van St. Lambert    # martyrdom, suffering, misfortune, death of St. Lambert
11H(LAMBERT)68|St. Lambert wordt gedood door pijlen, een lans of een zwaard, meestal terwijl hij knielt in gebed.    # St. Lambert is killed by arrows, a lance or a sword, usually while kneeling in prayer
11H(LAMBERT)69|martelaarschap, lijden, tegenspoed, dood van St. Lambert - mishandeling van het lichaam van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Lambert - maltreatment of corpse of male saint
11H(LAMBERT)7|glorie van St. Lambert: zijn kroning door engelen of de Maagd Maria    # glory of St. Lambert: his coronation by angels or the Virgin Mary
11H(LAMBERT)8|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - postume gebeurtenissen ~ mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - post-mortem occurrences ~ male saint
11H(LAMBERT)81|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - vinden, transport van relieken van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - finding, transportation of relics of male saint
11H(LAMBERT)82|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - miracles occurring during handling of relics of male saint
11H(LAMBERT)83|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - postume daden, verschijningen van mannelijke heiligen    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - posthumous deeds, appearances of male saints
11H(LAMBERT)84|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenering, zwaard, twee gewapende mannen onder voeten - zaligverklaring, heiligverklaring van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - beatification, canonization of male saint
11H(LAMBERT)9|Lambert(us), martelaar bisschop van Maastricht en patroon van Luik; mogelijke attributen: pijl, beer, doek met vlammen, lans, edelman onder kromstaf, redenatie, zwaard, twee gewapende mannen onder voeten - portret van mannelijke heilige    # Lambert(us), martyr bishop of Maastricht and patron of Liège; possible attributes: arrow, bear, cloth with flames, lance, nobleman under crozier, rationale, sword, two armed men under feet - portrait of male saint
11H(LAURENCE)|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten)    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins)
11H(LAURENCE)0|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige afgebeeld in een groep    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint represented in a group
11H(LAURENCE)1|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - specifieke aspecten ~ mannelijke heilige    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - specific aspects ~ male saint
11H(LAURENCE)11|De martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige als patroon, beschermer, bemiddelaar    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint as patron, protector, intercessor
11H(LAURENCE)119|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint protecting devotees with cloak, 'Schutzmantel'
11H(LAURENCE)12|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige schrijvend, studerend, lesgevend, dicterend (bijv. als Kerkleraar)    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(LAURENCE)13|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige als stichter van Orde    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint as founder of Order
11H(LAURENCE)131|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - male saint ~ confirmation of Order, approval of Rule(s)
11H(LAURENCE)2|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - vroege leven van mannelijke heilige    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - early life of male saint
11H(LAURENCE)3|persoonlijke toewijding van St. Laurens    # personal devotion of St. Laurence
11H(LAURENCE)31|persoonlijke toewijding van St. Laurence - roeping, bekering van mannelijke heilige    # personal devotion of St. Laurence - vocation, conversion of male saint
11H(LAURENCE)32|St. Laurence gewijd tot diaken door paus Sixtus II    # St. Laurence ordained deacon by pope Sixtus II
11H(LAURENCE)33|persoonlijke toewijding van St. Laurens - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # personal devotion of St. Laurence - renouncing worldly goods, ascetic life of male saint
11H(LAURENCE)34|Persoonlijke toewijding van St. Laurens - visie(s), mystieke huwelijk van mannelijke heilige    # personal devotion of St. Laurence - vision(s), mystic marriage of male saint
11H(LAURENCE)35|persoonlijke toewijding van St. Laurens - verleiding van mannelijke heilige    # personal devotion of St. Laurence - temptation of male saint
11H(LAURENCE)36|Persoonlijke toewijding van St. Laurens - boetedoening van mannelijke heilige    # personal devotion of St. Laurence - penitence of male saint
11H(LAURENCE)37|persoonlijke devotie van St. Laurens - mannelijke heilige die mediteert, in extase    # personal devotion of St. Laurence - male saint meditating, in ecstasy
11H(LAURENCE)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Laurence    # non-miraculous activities and events ~ St. Laurence
11H(LAURENCE)41|St. Laurence ontvangt van paus Sixtus II de schatten van de kerk    # St. Laurence receives from pope Sixtus II the treasures of the church
11H(LAURENCE)42|de liefdadigheid van St. Laurens: hij verdeelt de schatten van de kerk (gouden en zilveren schalen en bekers, vaten) onder de armen; hij houdt een geldzak vast    # the charity of St. Laurence: he distributes the treasures of the church (gold and silver dishes and cups, vessels) to the poor; he holds a bag of money
11H(LAURENCE)5|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - miraculous activities and events ~ male saint
11H(LAURENCE)59|de martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - stigmatisering van mannelijke heilige    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - stigmatization of male saint
11H(LAURENCE)6|martelaarschap, lijden, tegenspoed, dood van St. Laurens    # martyrdom, suffering, misfortune, death of St. Laurence
11H(LAURENCE)61|St. Laurence voor de prefect wordt gegeseld door Romeinse soldaten, en zijn vlees wordt verscheurd met ijzeren kammen    # St. Laurence before the prefect is scourged by Roman soldiers, and his flesh is torn with iron combs
11H(LAURENCE)62|St. Laurence wordt geroosterd op een rooster    # St. Laurence is roasted on a gridiron
11H(LAURENCE)68|martelaarschap, lijden, tegenspoed, dood van St. Laurens - dood, sterfbed van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Laurence - death, deathbed of male saint
11H(LAURENCE)69|martelaarschap, lijden, tegenspoed, dood van St. Laurens - mishandeling van het lichaam van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Laurence - maltreatment of corpse of male saint
11H(LAURENCE)7|De ziel van St. Laurens wordt naar de hemel gedragen door engelen.    # the soul of St. Laurence is carried to heaven by angels
11H(LAURENCE)8|post-mortem gebeurtenissen ~ St. Laurence    # post-mortem occurences ~ St. Laurence
11H(LAURENCE)81|post-mortem gebeurtenissen ~ St. Laurence - vinden, transport van relieken van mannelijke heilige    # post-mortem occurences ~ St. Laurence - finding, transportation of relics of male saint
11H(LAURENCE)82|post-mortem gebeurtenissen ~ St. Laurens - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # post-mortem occurences ~ St. Laurence - miracles occurring during handling of relics of male saint
11H(LAURENCE)83|post-mortem gebeurtenissen ~ St. Laurence - postume daden, verschijningen van mannelijke heiligen    # post-mortem occurences ~ St. Laurence - posthumous deeds, appearances of male saints
11H(LAURENCE)84|post-mortem gebeurtenissen ~ St. Laurence - zaligverklaring, heiligverklaring van mannelijke heilige    # post-mortem occurences ~ St. Laurence - beatification, canonization of male saint
11H(LAURENCE)9|De martelaar en diaken Laurens van Rome; mogelijke attributen: boek, wierookvat, kruis, dalmatiek, rooster, palm, beurs (of beker met gouden munten) - portret van mannelijke heilige    # the martyr and deacon Laurence of Rome; possible attributes: book, censer, cross, dalmatic, gridiron, palm, purse (or cup with golden coins) - portrait of male saint
11H(LAZARUS)|De broer van St. Martha en St. Mary Magdalene, Lazarus van Bethanië, bisschop van Marseille; mogelijke attributen: bisschoppelijk gewaad, boek    # the brother of St. Martha and St. Mary Magdalene, Lazarus of Bethany, bishop of Marseilles; possible attributes: bishop's garment, book
